tabla,fila,campo,valor,error
Reseñas_Usuarios,207,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,208,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,209,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,211,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,216,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,216,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,218,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,219,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,227,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,228,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,228,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,229,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,231,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,234,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,235,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,238,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,239,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,239,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,240,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,243,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,247,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,248,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,249,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,253,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,253,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,254,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,257,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,257,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,260,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,262,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,262,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,267,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,268,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,269,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,271,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,272,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,273,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,277,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,278,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,279,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,279,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,280,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,282,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,286,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,286,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,289,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,291,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,293,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,295,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,295,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,296,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,296,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,297,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,299,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,300,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,301,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,302,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,303,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,305,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,306,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,306,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,309,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,310,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,312,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,313,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,313,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,315,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,315,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,316,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,316,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,318,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,319,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,319,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,320,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,321,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,322,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,324,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,325,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,326,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,326,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,327,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,329,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
